NR,RA,DEC,X,Y,V,Age
1000361,84.686523,-69.061073,2714.43,4105.19,22.35,30.4
1000362,84.686371,-69.068405,2719.33,3428.45,22.47,1.2
1000363,84.686325,-69.060883,2721.00,4122.31,21.46,1.0
1000364,84.686279,-69.074974,2722.41,2822.04,22.72,0.6
1000365,84.686226,-69.085434,2724.03,1856.52,22.22,10.0
1000366,84.686203,-69.084709,2724.81,1923.00,22.76,0.7
1000367,84.686157,-69.066322,2726.40,3620.20,22.52,20.0
1000368,84.686005,-69.082832,2731.53,2096.84,24.61,3.7
1000369,84.685722,-69.087334,2740.64,1680.78,21.61,0.4
1000370,84.685310,-69.075005,2754.47,2818.88,23.02,0.6
1000371,84.685310,-69.057640,2754.55,4421.94,19.70,3.7
1000372,84.685204,-69.057312,2757.98,4451.99,19.43,2.6
1000373,84.685196,-69.069054,2758.18,3368.52,21.27,0.6
1000374,84.685143,-69.087730,2759.82,1644.52,21.43,5.1
1000375,84.684975,-69.074715,2765.44,2845.54,23.73,2.0
1000376,84.684891,-69.080856,2768.02,2278.62,23.07,0.9
1000377,84.684685,-69.083023,2774.90,2079.03,22.53,30.1
1000378,84.684601,-69.083488,2777.72,2035.96,22.73,15.7
1000379,84.684532,-69.102448,2779.60,285.74,22.23,30.0
1000380,84.684357,-69.096115,2785.48,870.40,19.88,4.7
1000381,84.684326,-69.068893,2786.87,3383.25,23.14,18.1
1000382,84.684311,-69.071068,2787.28,3182.34,21.73,0.9
1000383,84.684174,-69.084732,2791.78,1921.21,20.44,6.7
1000384,84.684082,-69.072304,2794.90,3068.27,21.34,1.5
1000385,84.684006,-69.089310,2797.18,1498.51,23.11,38.0
1000386,84.683784,-69.083580,2804.53,2027.34,22.90,37.4
1000387,84.683716,-69.086227,2806.86,1783.36,22.73,1.8
1000388,84.683563,-69.076607,2811.90,2671.02,23.27,1.7
1000389,84.683540,-69.071144,2812.73,3175.24,23.47,0.8
1000390,84.683525,-69.101906,2812.87,336.25,21.52,7.6
1000391,84.683289,-69.080566,2821.07,2305.75,19.97,3.5
1000392,84.683273,-69.069069,2821.49,3367.22,24.35,48.3
1000393,84.683121,-69.073677,2826.44,2941.81,23.45,4.7
